county,state
Wabasha,MN
Wadena,MN
Waseca,MN
Washington,MN
Watonwan,MN
Wilkin,MN
Winona,MN
Wright,MN
Yellow Medicine,MN
Anderson,TX
Andrews,TX
Angelina,TX
Aransas,TX
Archer,TX
Armstrong,TX
Atascosa,TX
Austin,TX
Bailey,TX
Bandera,TX
Bastrop,TX
Baylor,TX
Bee,TX
Bell,TX
Bexar,TX
Blanco,TX
Borden,TX
Bosque,TX
Bowie,TX
Brazoria,TX
Brazos,TX
Brewster,TX
Briscoe,TX
Brooks,TX
Brown,TX
Burleson,TX
Burnet,TX
Caldwell,TX
Calhoun,TX
Callahan,TX
Cameron,TX
Camp,TX
Carson,TX
Cass,TX
Castro,TX
Chambers,TX
Cherokee,TX
Childress,TX
Clay,TX
Cochran,TX
Coke,TX
Coleman,TX
Collin,TX
Collingsworth,TX
Colorado,TX
Comal,TX
Comanche,TX
Concho,TX
Cooke,TX
Coryell,TX
Cottle,TX
Crane,TX
Crockett,TX
Crosby,TX
Culberson,TX
Dallam,TX
Dallas,TX
Dawson,TX
Deaf Smith,TX
Delta,TX
Denton,TX
DeWitt,TX
Dickens,TX
Dimmit,TX
Donley,TX
Duval,TX
Eastland,TX
Ector,TX
Edwards,TX
Ellis,TX
El Paso,TX
Erath,TX
Falls,TX
Fannin,TX
Fayette,TX
Fisher,TX
Floyd,TX
Foard,TX
Fort Bend,TX
Franklin,TX
Freestone,TX
Frio,TX
Gaines,TX
Galveston,TX
Garza,TX
Gillespie,TX
Glasscock,TX
Goliad,TX
Gonzales,TX
Gray,TX
Grayson,TX
Gregg,TX
Grimes,TX
Guadalupe,TX
Hale,TX
Hall,TX
Hamilton,TX
Hansford,TX
Hardeman,TX
Hardin,TX
Harris,TX
Harrison,TX
Hartley,TX
Haskell,TX
Hays,TX
Hemphill,TX
Henderson,TX
Hidalgo,TX
Hill,TX
Hockley,TX
Hood,TX
Hopkins,TX
Houston,TX
Howard,TX
Hudspeth,TX
Hunt,TX
Hutchinson,TX
Irion,TX
Jack,TX
Jackson,TX
Jasper,TX
Jeff Davis,TX
Jefferson,TX
Jim Hogg,TX
Jim Wells,TX
Johnson,TX
Jones,TX
Karnes,TX
Kaufman,TX
Kendall,TX
Kenedy,TX
Kent,TX
Kerr,TX
Kimble,TX
King,TX
Kinney,TX
Kleberg,TX
Knox,TX
Lamar,TX
Lamb,TX
Lampasas,TX
La Salle,TX
Lavaca,TX
Lee,TX
Leon,TX
Liberty,TX
Limestone,TX
Lipscomb,TX
Live Oak,TX
Llano,TX
Loving,TX
Lubbock,TX
Lynn,TX
McCulloch,TX
McLennan,TX
McMullen,TX
Madison,TX
Marion,TX
Martin,TX
Mason,TX
Matagorda,TX
Maverick,TX
Medina,TX
Menard,TX
Midland,TX
Milam,TX
Mills,TX
Mitchell,TX
Montague,TX
Montgomery,TX
Moore,TX
Morris,TX
Motley,TX
Nacogdoches,TX
Navarro,TX
Newton,TX
Nolan,TX
Nueces,TX
Ochiltree,TX
Oldham,TX
Orange,TX
Palo Pinto,TX
Panola,TX
Parker,TX
Parmer,TX
Pecos,TX
Polk,TX
Potter,TX
Presidio,TX
Rains,TX
Randall,TX
Reagan,TX
Real,TX
Red River,TX
Reeves,TX
Refugio,TX
Roberts,TX
Robertson,TX
Rockwall,TX
Runnels,TX
Rusk,TX
Sabine,TX
San Augustine,TX
San Jacinto,TX
San Patricio,TX
San Saba,TX
Schleicher,TX
Scurry,TX
Shackelford,TX
Shelby,TX
Sherman,TX
Smith,TX
Somervell,TX
Starr,TX
Stephens,TX
Sterling,TX
Stonewall,TX
Sutton,TX
Swisher,TX
Tarrant,TX
Taylor,TX
Terrell,TX
Terry,TX
Throckmorton,TX
Titus,TX
Tom Green,TX
Travis,TX
Trinity,TX
Tyler,TX
Upshur,TX
Upton,TX
Uvalde,TX
Val Verde,TX
Van Zandt,TX
Victoria,TX
Walker,TX
Waller,TX
Ward,TX
Washington,TX
Webb,TX
Wharton,TX
Wheeler,TX
Wichita,TX
Wilbarger,TX
Willacy,TX
Williamson,TX
Wilson,TX
Winkler,TX
Wise,TX
Wood,TX
Yoakum,TX
Young,TX
Zapata,TX
Zavala,TX
